,ufos,duration_of_sighting,time_of_day
295,11,5400.0,933
296,6,10.0,1000
297,3,1800.0,1015
298,10,1800.0,300
299,2,10.0,600
300,15,35.0,645
301,2,15.0,700
302,13,10.0,808
303,5,600.0,1108
304,0,10.0,2300
305,10,10.0,2300
306,0,10.0,349
307,5,10.0,600
308,5,10.0,730
309,10,1800.0,1145
310,7,1800.0,1400
311,10,25.0,1400
312,1,10.0,108
313,4,1320.0,1200
314,10,45.0,200
315,5,45.0,300
316,4,3000.0,827
317,1,1800.0,1315
318,9,1200.0,1405
319,10,10.0,1600
320,1,600.0,500
321,1,27.0,1323
322,8,600.0,1030
323,10,600.0,1220
324,2,900.0,1345
325,1,30.0,1730
326,9,3900.0,2015
327,0,10.0,720
328,1,55.0,1000
329,0,3000.0,2000
330,1,1800.0,2100
331,11,2700.0,1100
332,10,15.0,2300
333,3,15.0,830
334,1,1200.0,1800
335,0,10.0,1807
336,1,2700.0,700
337,10,1800.0,900
338,19,1800.0,740
339,1,20.0,800
340,3,15.0,900
341,2,20.0,230
342,10,2400.0,500
343,1,10.0,600
344,16,2700.0,700
345,13,3600.0,700
346,6,3600.0,700
347,10,10.0,800
348,11,15.0,800
349,1,10.0,830
350,2,10.0,845
351,3,600.0,905
352,5,2400.0,945
353,13,30.0,1000
354,2,900.0,1000
355,2,15.0,300
356,6,30.0,630
357,2,25.0,745
358,6,10.0,800
359,0,1800.0,800
360,5,15.0,800
361,5,20.0,840
362,1,10.0,900
363,2,2700.0,900
364,1,10.0,915
365,5,1800.0,945
366,2,900.0,1000
367,3,900.0,1000
368,11,0.17,1000
369,1,20.0,1005
370,1,15.0,1026
371,5,10.0,1030
372,2,1200.0,1100
373,15,10.0,1128
374,3,1.2,915
375,1,10.0,400
376,4,1800.0,300
377,1,10.0,747
378,2,20.0,1800
379,3,1500.0,2145
380,1,10.0,1000
381,1,3600.0,2000
382,2,10.0,645
383,8,10.0,700
384,15,1800.0,720
385,2,600.0,755
