,ufos,duration_of_sighting,time_of_day
1276,1,10.0,710
1277,7,45.0,715
1278,2,15.0,730
1279,4,1800.0,740
1280,10,45.0,745
1281,7,10.0,800
1282,1,600.0,815
1283,11,15.0,900
1284,5,600.0,900
1285,5,15.0,1030
1286,4,15.0,1100
1287,4,600.0,1130
1288,9,20.0,1800
1289,16,10.0,800
1290,2,10.0,400
1291,1,20.0,1300
1292,3,600.0,1330
1293,10,10.0,900
1294,1,10.0,1400
1295,10,2700.0,730
1296,6,900.0,18
1297,8,1800.0,730
1298,7,20.0,1105
1299,13,15.0,830
1300,4,45.0,830
1301,8,600.0,905
1302,17,900.0,230
1303,1,1800.0,1300
1304,5,900.0,624
1305,10,900.0,939
1306,2,15.0,1000
1307,2,1800.0,1200
1308,3,20.0,1230
1309,11,10.0,0
1310,5,600.0,700
1311,1,20.0,1400
1312,1,12.0,1200
1313,4,10.0,400
1314,8,600.0,715
1315,2,2700.0,1030
1316,1,600.0,1150
1317,5,1800.0,1450
1318,7,15.0,2000
1319,6,1080.0,200
1320,4,600.0,715
1321,3,3600.0,900
1322,1,3000.0,1005
1323,6,10.0,1030
1324,2,30.0,1300
1325,2,25.0,1327
1326,7,10.0,730
1327,1,15.0,730
1328,4,1800.0,800
1329,1,15.0,930
1330,9,600.0,1045
1331,5,2700.0,755
1332,9,15.0,1912
1333,10,40.0,1100
1334,4,900.0,1850
1335,3,12.0,415
1336,11,1800.0,530
1337,10,40.0,1000
1338,1,30.0,1100
1339,15,1800.0,2300
1340,3,1800.0,430
1341,3,900.0,1100
1342,16,45.0,2015
1343,9,30.0,2200
1344,10,10.0,730
1345,7,10.0,800
1346,0,30.0,800
1347,4,10.0,830
1348,2,45.0,830
1349,1,15.0,900
1350,10,10.0,940
1351,10,30.0,1015
1352,10,1800.0,1030
1353,10,10.0,1155
1354,6,25.0,1400
1355,10,900.0,950
1356,2,900.0,1200
1357,10,0.25,710
1358,13,900.0,730
1359,10,2700.0,148
1360,13,10.0,700
1361,17,40.0,845
1362,2,10.0,1000
1363,3,600.0,1030
1364,1,40.0,1330
1365,5,1200.0,1350
1366,1,10.0,930
1367,1,600.0,1200
1368,1,600.0,2200
1369,1,15.0,2145
1370,3,50.0,650
1371,4,15.0,800
1372,16,30.0,800
1373,2,1800.0,930
1374,2,25.0,1830
1375,4,2400.0,745
1376,4,30.0,1100
1377,10,600.0,1100
1378,8,1800.0,220
1379,3,1200.0,815
1380,1,20.0,1152
1381,1,1200.0,1727
1382,5,30.0,740
1383,5,600.0,930
1384,2,1200.0,1030
1385,2,20.0,1805
1386,1,20.0,1830
1387,14,900.0,900
1388,3,10.0,2030
1389,11,45.0,1200
1390,4,15.0,1600
1391,1,1200.0,1810
1392,1,1140.0,2201
1393,10,10.0,535
1394,10,1800.0,1500
1395,4,25.0,1955
1396,1,10.0,2145
1397,2,10.0,600
1398,4,20.0,650
1399,10,10.0,700
1400,10,10.0,700
1401,2,1800.0,900
1402,2,10.0,945
1403,11,900.0,1000
1404,10,30.0,1030
1405,1,900.0,900
1406,2,1800.0,730
1407,1,15.0,445
1408,11,1800.0,2230
1409,1,10.0,1200
1410,1,10.0,1830
1411,2,10.0,1830
1412,11,10.0,900
1413,1,10.0,1000
1414,1,10.0,1000
1415,1,600.0,1038
1416,1,10.0,500
1417,1,2400.0,1125
1418,1,30.0,830
1419,2,15.0,1740
1420,3,3600.0,500
1421,3,30.0,800
1422,10,600.0,1000
1423,5,600.0,1000
1424,1,900.0,1100
1425,1,1200.0,730
1426,1,30.0,800
1427,11,1800.0,730
1428,4,1800.0,1230
1429,5,30.0,900
1430,5,10.0,1800
1431,1,1200.0,530
1432,3,30.0,815
1433,10,20.0,900
1434,10,1800.0,1000
1435,5,20.0,1645
1436,3,20.0,930
1437,10,30.0,1800
1438,2,30.0,900
1439,2,10.0,900
1440,10,45.0,915
1441,6,3600.0,1000
1442,6,30.0,1626
1443,8,22.0,1905
1444,2,15.0,2014
1445,6,30.0,730
1446,13,25.0,800
1447,5,10.0,800
1448,1,15.0,830
1449,13,20.0,830
1450,2,1800.0,900
1451,11,30.0,830
1452,8,15.0,110
1453,3,45.0,1150
1454,5,900.0,1350
1455,1,20.0,555
1456,10,1800.0,2230
1457,11,45.0,900
1458,3,10.0,1200
1459,1,15.0,1228
1460,16,10.0,1230
1461,15,10.0,800
1462,1,600.0,1310
1463,8,1800.0,710
1464,2,3600.0,930
1465,2,15.0,1000
1466,6,5400.0,1400
1467,13,15.0,1800
1468,2,600.0,825
1469,5,600.0,900
1470,2,600.0,900
1471,5,900.0,933
1472,16,1800.0,950
1473,5,15.0,1100
1474,5,20.0,1300
1475,7,10.0,1400
1476,10,1800.0,2000
1477,13,15.0,2200
1478,10,20.0,800
1479,1,25.0,615
1480,1,30.0,800
1481,5,1200.0,1300
1482,3,1800.0,1526
1483,2,600.0,10
1484,1,20.0,405
1485,1,15.0,530
1486,7,15.0,555
1487,3,15.0,650
1488,3,1800.0,747
1489,6,13.0,820
1490,2,1800.0,1115
1491,10,20.0,1130
1492,1,20.0,730
1493,2,20.0,600
1494,1,25.0,725
1495,0,15.0,727
1496,10,1800.0,750
1497,3,1800.0,1200
1498,2,10.0,1200
1499,3,10.0,1240
1500,1,720.0,1246
1501,13,10.0,1430
1502,1,600.0,1800
1503,1,600.0,100
1504,16,1200.0,718
1505,10,1800.0,815
1506,2,600.0,900
1507,1,30.0,2200
1508,11,600.0,1107
1509,11,10.0,1206
1510,5,45.0,1820
1511,10,10.0,530
1512,1,25.0,630
1513,16,15.0,820
1514,2,20.0,830
1515,8,10.0,900
1516,2,20.0,900
1517,5,600.0,750
1518,5,900.0,330
1519,2,1800.0,800
1520,4,10.0,2100
1521,1,600.0,700
1522,16,900.0,1201
1523,5,20.0,645
1524,5,15.0,545
1525,2,600.0,1300
1526,6,10.0,530
1527,1,5400.0,800
1528,2,600.0,30
1529,1,30.0,800
1530,15,1800.0,1030
1531,5,1800.0,1815
1532,13,15.0,715
1533,1,45.0,815
1534,1,600.0,2030
1535,6,10.0,2200
1536,1,60.0,1630
1537,10,10.0,545
1538,7,1200.0,630
1539,2,1800.0,740
1540,1,30.0,920
1541,6,30.0,645
1542,5,10.0,745
1543,1,1800.0,911
1544,4,2700.0,900
1545,0,1800.0,915
1546,6,900.0,1315
1547,10,10.0,1330
1548,1,900.0,1605
1549,11,1200.0,1715
1550,1,15.0,2245
1551,17,600.0,620
1552,1,10.0,630
1553,10,10.0,700
1554,2,35.0,730
1555,2,900.0,911
1556,2,10.0,1045
1557,1,900.0,1200
1558,10,15.0,1214
1559,2,10.0,1430
1560,0,20.0,2000
1561,10,600.0,707
1562,5,25.0,800
1563,5,600.0,930
1564,11,1800.0,1000
1565,7,1800.0,1140
1566,0,900.0,1810
1567,11,1800.0,900
1568,7,90.0,1230
1569,10,1200.0,715
1570,10,10.0,800
1571,13,10.0,945
1572,5,10.0,1300
1573,2,10.0,900
1574,6,10.0,1500
1575,2,900.0,1600
1576,1,900.0,1600
1577,1,600.0,900
1578,10,20.0,1000
1579,1,20.0,650
1580,11,600.0,725
1581,15,3600.0,800
1582,1,0.2,600
1583,0,10.0,2230
1584,11,900.0,2115
1585,1,1800.0,445
1586,1,600.0,1600
1587,2,15.0,1910
1588,13,10.0,800
1589,5,15.0,900
1590,3,1200.0,1000
1591,3,1800.0,1600
1592,10,10.0,800
1593,11,15.0,1800
1594,1,30.0,700
1595,3,1800.0,715
1596,5,1500.0,728
1597,13,900.0,730
1598,18,1800.0,730
1599,2,45.0,800
1600,10,25.0,930
1601,6,25.0,710
1602,5,20.0,730
1603,5,600.0,1100
1604,1,15.0,2315
1605,10,10.0,500
1606,9,2700.0,515
1607,0,15.0,900
1608,3,1200.0,1800
1609,5,600.0,935
1610,1,12.0,1020
1611,5,0.25,1900
1612,6,20.0,1023
1613,1,2700.0,1135
1614,18,600.0,2200
1615,4,30.0,725
1616,19,600.0,800
1617,7,1800.0,802
1618,17,2700.0,900
1619,6,2700.0,905
1620,5,5400.0,915
1621,1,20.0,1200
1622,3,30.0,0
1623,7,10.0,500
1624,4,10.0,1000
1625,18,5400.0,1045
1626,10,90.0,1700
1627,3,600.0,1758
1628,4,1200.0,1758
1629,7,1200.0,1805
1630,7,15.0,725
1631,16,1500.0,858
1632,10,10.0,1000
1633,4,720.0,830
1634,10,20.0,1100
1635,1,10.0,600
1636,1,900.0,830
1637,2,15.0,630
1638,2,2700.0,1600
1639,1,1800.0,630
1640,7,1800.0,130
1641,1,600.0,700
1642,10,900.0,1000
1643,10,45.0,600
1644,1,15.0,900
1645,1,720.0,1200
1646,2,600.0,2200
1647,4,45.0,700
1648,8,1200.0,700
1649,11,2700.0,2130
1650,1,10.0,645
1651,1,30.0,700
1652,5,600.0,930
1653,6,1800.0,630
1654,1,3600.0,630
1655,2,660.0,645
1656,4,1200.0,700
1657,13,600.0,700
1658,1,45.0,715
1659,5,1200.0,730
1660,5,2100.0,2025
1661,1,1200.0,530
1662,1,15.0,800
1663,7,10.0,1840
1664,1,1800.0,900
1665,16,10.0,1400
1666,4,10.0,1500
1667,18,15.0,1500
1668,10,15.0,1540
1669,1,600.0,1930
1670,1,600.0,1200
1671,5,20.0,655
1672,15,15.0,700
1673,2,10.0,730
1674,1,25.0,730
1675,10,20.0,730
1676,10,35.0,730
1677,3,15.0,740
1678,10,30.0,740
1679,10,25.0,745
1680,6,15.0,745
1681,10,25.0,750
1682,2,30.0,750
1683,11,16.0,756
1684,1,20.0,800
1685,17,900.0,800
1686,8,15.0,800
1687,6,30.0,800
1688,18,30.0,800
1689,7,30.0,800
1690,11,15.0,800
1691,1,15.0,800
1692,0,30.0,800
1693,5,20.0,800
1694,6,10.0,800
1695,1,10.0,800
1696,2,600.0,800
1697,4,15.0,806
1698,1,10.0,813
1699,6,10.0,815
1700,10,10.0,815
1701,2,10.0,815
1702,4,15.0,815
1703,4,60.0,830
1704,16,20.0,830
1705,2,30.0,900
1706,3,10.0,900
1707,1,15.0,900
1708,10,20.0,900
1709,1,10.0,925
1710,1,30.0,930
1711,10,600.0,1000
1712,3,15.0,1000
1713,1,20.0,1000
1714,1,20.0,1100
1715,2,3600.0,1711
1716,1,600.0,200
1717,1,2700.0,700
1718,2,5400.0,740
1719,1,1200.0,800
1720,5,900.0,910
1721,1,1800.0,930
1722,6,5400.0,940
1723,1,60.0,2000
1724,18,30.0,2230
1725,16,1800.0,710
1726,10,600.0,720
1727,10,45.0,800
1728,10,600.0,955
1729,2,1800.0,1400
1730,4,1800.0,2125
1731,1,600.0,300
1732,7,10.0,750
1733,15,10.0,905
1734,3,900.0,950
1735,6,30.0,1000
1736,4,10.0,1040
1737,3,15.0,1125
1738,10,10.0,720
1739,8,10.0,735
1740,11,600.0,830
1741,11,15.0,500
1742,16,900.0,730
1743,11,10.0,830
1744,10,15.0,950
1745,1,1800.0,1015
1746,1,600.0,700
1747,10,3600.0,715
1748,1,2400.0,730
1749,1,1800.0,840
1750,17,10.0,710
1751,13,1500.0,742
1752,1,15.0,840
1753,10,900.0,1000
1754,3,1800.0,1015
1755,11,600.0,1025
1756,3,10.0,1100
1757,17,900.0,1300
1758,11,30.0,1828
1759,1,600.0,223
1760,10,1800.0,840
1761,13,600.0,900
1762,6,600.0,900
1763,3,600.0,903
1764,6,90.0,920
1765,6,2100.0,135
1766,5,1800.0,805
1767,7,30.0,900
1768,14,20.0,1300
1769,2,30.0,820
1770,3,600.0,1115
1771,3,600.0,933
1772,17,30.0,930
1773,6,1800.0,1800
1774,9,1800.0,1400
1775,4,15.0,830
1776,1,15.0,1925
1777,4,10.0,1930
1778,1,20.0,0
1779,1,2700.0,930
1780,1,15.0,1030
1781,1,45.0,1530
1782,1,10.0,700
1783,6,1800.0,943
1784,2,10.0,1125
1785,17,45.0,1145
1786,10,15.0,1000
1787,1,20.0,1000
1788,5,720.0,2230
1789,5,1080.0,930
1790,1,12.0,943
1791,5,1200.0,1000
1792,9,15.0,1720
1793,5,0.25,730
1794,1,1800.0,800
1795,5,10.0,1100
1796,5,20.0,1500
1797,15,900.0,1700
1798,2,20.0,515
1799,1,20.0,828
1800,8,20.0,930
1801,1,900.0,1025
1802,2,1500.0,1330
1803,15,0.17,1400
1804,15,600.0,1630
1805,1,15.0,1730
1806,1,30.0,740
1807,1,40.0,800
1808,4,1800.0,855
1809,4,900.0,900
1810,0,1800.0,1000
1811,3,1800.0,1000
1812,5,10.0,1100
1813,5,300.0,1642
1814,4,600.0,900
1815,8,900.0,233
1816,4,10.0,500
1817,16,10.0,1000
1818,2,1200.0,1047
1819,10,2400.0,30
1820,6,30.0,430
1821,7,600.0,800
1822,16,14.0,903
1823,5,600.0,1610
1824,1,600.0,705
1825,3,600.0,1300
1826,13,2700.0,610
1827,2,0.25,800
1828,2,10.0,800
1829,17,5400.0,1250
1830,3,15.0,1500
1831,2,20.0,605
1832,9,900.0,815
1833,9,5400.0,930
1834,5,600.0,940
1835,2,600.0,2250
1836,5,2400.0,630
1837,1,1800.0,700
1838,1,1800.0,730
1839,1,1800.0,1800
1840,1,900.0,645
1841,1,10.0,900
1842,2,600.0,910
1843,2,900.0,1135
1844,2,45.0,1600
1845,2,20.0,700
1846,4,10.0,1100
1847,6,15.0,2200
1848,10,3600.0,730
1849,1,35.0,845
1850,10,30.0,1154
1851,13,20.0,1845
1852,10,10.0,1930
1853,9,1800.0,400
1854,10,10.0,730
1855,3,1800.0,830
1856,10,20.0,845
1857,2,15.0,915
1858,7,10.0,1030
1859,8,15.0,1130
1860,1,25.0,2004
1861,5,10.0,100
1862,1,10.0,800
1863,0,10.0,800
1864,4,10.0,800
1865,8,20.0,810
1866,4,30.0,830
1867,10,25.0,950
1868,8,15.0,950
1869,2,15.0,950
1870,10,2280.0,1000
1871,1,10.0,1020
1872,3,600.0,1035
1873,3,20.0,1115
1874,1,10.0,445
1875,4,30.0,1400
1876,3,15.0,930
1877,1,1800.0,300
1878,1,1800.0,900
1879,4,15.0,1205
1880,10,600.0,745
1881,18,1800.0,1000
1882,4,15.0,130
1883,1,600.0,1100
1884,1,1200.0,1330
1885,0,1800.0,300
1886,11,15.0,430
1887,0,720.0,756
1888,13,10.0,1730
1889,5,600.0,2000
1890,10,15.0,615
1891,6,20.0,915
1892,1,10.0,135
1893,4,900.0,800
1894,10,600.0,810
1895,13,1200.0,812
1896,1,1200.0,1000
1897,2,600.0,1000
1898,5,2400.0,1000
1899,7,1800.0,1200
1900,2,900.0,2230
1901,6,1200.0,1000
1902,4,20.0,1100
1903,6,1200.0,2136
1904,4,0.25,730
1905,2,1800.0,1130
1906,1,2100.0,1145
1907,16,3000.0,2220
1908,0,20.0,900
1909,10,1200.0,1345
1910,3,2700.0,1000
1911,2,30.0,1500
1912,10,5400.0,2241
1913,3,15.0,1710
1914,10,1800.0,1800
1915,10,3600.0,100
1916,10,10.0,700
1917,10,3600.0,700
1918,16,1200.0,700
1919,5,20.0,1030
1920,5,10.0,2130
1921,5,2700.0,550
1922,10,10.0,640
1923,3,1800.0,645
1924,8,15.0,656
1925,6,15.0,720
1926,4,15.0,917
1927,1,10.0,950
1928,7,20.0,1030
1929,10,600.0,1128
1930,2,1800.0,1455
1931,1,15.0,1600
1932,10,15.0,1930
1933,7,1800.0,800
1934,7,20.0,814
1935,1,15.0,830
1936,7,15.0,845
1937,2,13.0,857
1938,2,30.0,900
1939,1,1380.0,915
1940,1,1800.0,930
1941,1,10.0,1030
1942,2,2700.0,945
1943,10,1200.0,100
1944,17,2100.0,1540
1945,15,15.0,300
1946,10,45.0,1000
1947,5,720.0,845
1948,10,600.0,732
1949,13,10.0,1110
1950,2,600.0,1545
1951,1,900.0,1000
1952,4,600.0,400
1953,7,1200.0,630
1954,2,45.0,1200
1955,1,2700.0,2345
1956,1,15.0,630
1957,0,600.0,235
1958,3,15.0,400
1959,1,10.0,800
1960,10,1800.0,830
1961,4,15.0,1730
1962,1,2700.0,930
1963,2,30.0,1400
1964,6,600.0,2100
1965,6,0.25,500
1966,0,900.0,1030
1967,3,1800.0,100
1968,5,30.0,630
1969,4,10.0,800
1970,0,1500.0,900
1971,2,10.0,930
1972,11,600.0,1010
1973,2,10.0,2300
1974,9,720.0,2310
1975,3,10.0,800
1976,10,10.0,910
1977,1,2280.0,1030
1978,1,30.0,1440
1979,10,20.0,600
1980,5,1800.0,815
1981,1,1500.0,856
1982,1,1800.0,1208
1983,3,1800.0,513
1984,1,20.0,545
1985,16,600.0,835
1986,9,5400.0,855
1987,1,30.0,900
1988,11,30.0,900
1989,10,0.25,1000
1990,7,20.0,1130
1991,3,45.0,1130
1992,14,5400.0,1240
1993,3,15.0,1915
1994,1,10.0,2015
1995,3,10.0,2245
1996,1,10.0,100
1997,6,10.0,730
1998,0,40.0,750
1999,2,15.0,830
2000,1,600.0,930
2001,10,600.0,940
2002,4,10.0,1000
2003,7,20.0,1010
2004,2,10.0,1130
2005,7,20.0,1130
2006,10,30.0,1130
2007,1,10.0,500
2008,10,25.0,535
2009,10,15.0,730
2010,10,10.0,800
2011,1,15.0,900
2012,8,40.0,750
2013,2,10.0,1100
2014,5,900.0,700
2015,5,600.0,1000
2016,1,20.0,1845
2017,6,600.0,1102
2018,5,1800.0,1445
2019,7,15.0,1000
2020,5,10.0,1030
2021,10,10.0,1130
2022,14,1500.0,1230
2023,10,1800.0,2200
2024,4,1800.0,2328
2025,5,600.0,830
2026,15,15.0,1820
2027,6,15.0,2200
2028,1,600.0,600
2029,5,1200.0,730
2030,5,1500.0,730
2031,1,1800.0,2330
2032,2,10.0,1000
2033,2,20.0,1415
2034,1,1200.0,2100
2035,5,10.0,800
2036,1,10.0,830
2037,2,45.0,1135
2038,4,38.0,1352
2039,5,15.0,1400
2040,5,96.0,402
2041,5,10.0,1015
2042,1,15.0,1530
2043,1,10.0,1630
2044,10,30.0,2135
2045,10,30.0,800
2046,13,20.0,900
2047,6,20.0,1803
2048,3,10.0,1930
2049,1,600.0,2311
2050,9,30.0,730
2051,3,10.0,800
2052,5,10.0,1000
2053,13,900.0,1300
2054,8,15.0,1715
2055,9,900.0,450
2056,2,1800.0,815
2057,3,40.0,940
2058,3,1800.0,1750
2059,1,20.0,1815
2060,14,1800.0,845
2061,4,1800.0,1013
2062,0,1800.0,1437
2063,6,20.0,15
2064,1,1800.0,900
2065,4,600.0,945
2066,16,30.0,1030
2067,5,15.0,1830
2068,1,1800.0,2330
2069,10,10.0,700
2070,5,28.0,728
2071,1,1800.0,820
2072,1,900.0,909
2073,10,600.0,912
2074,10,2700.0,1033
2075,1,10.0,930
2076,8,10.0,930
2077,10,16.0,1000
2078,7,720.0,1310
2079,1,15.0,445
2080,4,15.0,1030
2081,16,10.0,1030
2082,14,1800.0,1530
2083,6,10.0,500
2084,6,1500.0,705
2085,7,600.0,820
2086,1,600.0,1000
2087,1,43.0,1300
2088,10,15.0,600
2089,6,30.0,1030
2090,8,1800.0,100
2091,10,30.0,245
2092,1,15.0,330
2093,10,10.0,530
2094,10,600.0,800
2095,4,1200.0,745
2096,10,15.0,800
2097,2,3600.0,730
2098,10,36.0,952
2099,1,900.0,1000
2100,1,1800.0,1312
2101,10,10.0,1915
2102,3,10.0,930
2103,1,3000.0,1400
2104,5,10.0,1730
2105,1,19.0,737
2106,1,1800.0,905
2107,18,25.0,700
2108,1,25.0,700
2109,6,20.0,707
2110,11,10.0,753
2111,1,1800.0,900
2112,5,900.0,910
2113,10,10.0,915
2114,11,25.0,915
2115,2,1800.0,935
2116,10,10.0,1130
2117,3,10.0,700
2118,1,30.0,900
2119,5,3600.0,930
2120,1,1800.0,1400
2121,6,1800.0,1600
2122,2,1800.0,1915
2123,5,10.0,2013
2124,5,10.0,2320
2125,11,45.0,630
2126,2,60.0,714
2127,11,10.0,730
2128,5,25.0,800
2129,14,75.0,800
2130,1,45.0,830
2131,4,600.0,940
2132,2,20.0,1000
2133,5,30.0,1845
2134,1,1800.0,2000
2135,1,1800.0,0
2136,1,2460.0,749
2137,1,2460.0,749
2138,18,1800.0,330
2139,2,1740.0,1233
2140,11,1800.0,15
2141,1,3600.0,930
2142,7,1500.0,321
2143,1,900.0,1000
2144,5,10.0,1930
2145,10,10.0,235
2146,8,600.0,730
2147,4,2700.0,2045
2148,2,30.0,1000
2149,10,15.0,1030
2150,1,15.0,411
2151,4,480.0,808
2152,0,20.0,700
2153,7,600.0,840
2154,1,2700.0,1105
2155,1,600.0,1300
2156,11,900.0,1300
2157,6,1200.0,1615
2158,2,600.0,2236
2159,5,600.0,24
2160,10,600.0,100
2161,5,1800.0,500
2162,5,10.0,840
2163,2,600.0,918
2164,1,15.0,1315
2165,6,15.0,2200
2166,11,30.0,730
2167,3,1200.0,752
2168,11,15.0,830
2169,1,20.0,630
2170,1,1800.0,820
2171,10,10.0,1300
2172,8,1200.0,620
2173,3,28.0,642
2174,3,10.0,645
2175,3,28.0,742
2176,2,15.0,800
2177,3,10.0,800
2178,3,30.0,300
2179,5,20.0,430
2180,2,12.0,535
2181,15,300.0,1130
2182,1,10.0,1215
2183,19,15.0,1600
2184,0,30.0,1800
2185,2,15.0,200
2186,0,10.0,530
2187,2,10.0,700
2188,1,45.0,820
2189,2,900.0,840
2190,2,720.0,840
2191,10,900.0,907
2192,3,15.0,915
2193,1,15.0,915
2194,4,15.0,945
2195,2,20.0,1000
2196,2,10.0,1130
2197,11,20.0,1130
2198,16,1800.0,2300
2199,13,27.0,1010
2200,10,600.0,1230
2201,2,1200.0,900
2202,2,900.0,1000
2203,5,15.0,545
2204,1,600.0,930
2205,1,15.0,736
2206,2,900.0,1500
2207,10,30.0,630
2208,1,15.0,945
2209,6,10.0,1000
2210,5,2700.0,1750
2211,19,10.0,535
2212,5,1200.0,1715
2213,1,900.0,2215
2214,1,15.0,645
2215,1,1800.0,700
2216,3,35.0,1006
2217,1,1800.0,1300
2218,5,15.0,1600
2219,2,1800.0,535
2220,2,600.0,855
2221,14,10.0,900
2222,3,600.0,900
2223,2,15.0,1000
2224,1,57.0,1100
2225,6,10.0,1100
2226,6,600.0,1200
2227,3,20.0,1400
2228,8,15.0,700
2229,2,1800.0,1200
2230,5,20.0,1405
2231,10,10.0,2219
2232,6,15.0,430
2233,1,15.0,430
2234,4,600.0,500
2235,7,10.0,610
2236,7,1200.0,630
2237,6,1200.0,730
2238,4,600.0,1200
2239,13,600.0,515
2240,10,900.0,635
2241,10,5400.0,1530
2242,11,15.0,1715
2243,11,900.0,550
2244,8,10.0,625
2245,11,45.0,800
2246,11,30.0,1000
2247,11,15.0,1200
2248,5,20.0,1830
2249,5,15.0,430
2250,4,1200.0,826
2251,10,10.0,850
2252,10,5400.0,1058
2253,6,10.0,700
2254,9,30.0,800
2255,10,1200.0,700
2256,10,600.0,1100
2257,3,30.0,1130
2258,8,10.0,1145
2259,11,15.0,2338
2260,1,45.0,2235
2261,2,10.0,400
2262,1,10.0,244
2263,6,1800.0,300
2264,2,20.0,1300
2265,2,30.0,800
2266,2,1800.0,830
2267,2,10.0,1430
2268,7,1200.0,1930
2269,1,15.0,930
2270,4,15.0,1150
2271,2,15.0,1800
2272,10,10.0,2330
2273,16,1800.0,1100
2274,19,90.0,530
2275,1,15.0,600
2276,0,10.0,615
2277,2,10.0,630
2278,5,30.0,1000
2279,6,1800.0,1145
2280,1,2700.0,1700
2281,10,1800.0,2020
2282,3,600.0,1002
2283,1,1200.0,1115
2284,5,900.0,700
2285,7,30.0,1815
2286,2,25.0,2020
2287,2,1800.0,0
2288,4,30.0,300
2289,2,15.0,600
2290,3,5400.0,1500
2291,3,600.0,505
2292,4,5400.0,530
2293,4,10.0,900
2294,1,600.0,930
2295,4,12.0,1300
2296,0,1800.0,8
2297,2,1800.0,215
2298,1,10.0,600
2299,2,12.0,620
2300,6,50.0,630
2301,4,10.0,630
2302,2,20.0,630
2303,11,15.0,630
2304,5,10.0,700
2305,6,15.0,700
2306,4,10.0,720
2307,3,900.0,800
2308,10,15.0,800
2309,13,10.0,815
2310,2,10.0,825
2311,10,10.0,930
2312,4,1200.0,1120
2313,1,15.0,1255
2314,10,10.0,1756
2315,1,900.0,329
2316,6,35.0,500
2317,10,15.0,500
2318,4,5400.0,550
2319,6,3600.0,625
2320,10,600.0,715
2321,14,20.0,730
2322,8,900.0,730
2323,10,20.0,800
2324,10,2400.0,900
2325,1,2400.0,900
2326,5,20.0,900
2327,5,600.0,1000
2328,1,1800.0,1105
2329,3,1800.0,1400
2330,10,10.0,1100
2331,10,15.0,800
2332,2,10.0,600
2333,1,600.0,1200
2334,0,10.0,1100
2335,4,15.0,1020
2336,2,20.0,1730
2337,5,5400.0,745
2338,1,900.0,823
2339,16,10.0,450
2340,1,600.0,2245
2341,8,10.0,235
2342,11,25.0,505
2343,5,900.0,635
2344,10,2700.0,900
2345,1,15.0,200
2346,1,1800.0,525
2347,17,1800.0,700
2348,11,1200.0,900
2349,15,10.0,1300
2350,10,1800.0,954
2351,2,1800.0,1730
2352,1,12.0,640
2353,4,900.0,900
2354,9,10.0,1100
2355,1,600.0,1113
2356,9,600.0,1350
2357,10,900.0,700
2358,10,1200.0,900
2359,1,900.0,1000
2360,1,15.0,1115
2361,4,10.0,1200
2362,10,30.0,1500
2363,2,1800.0,805
2364,6,900.0,945
2365,3,900.0,410
2366,4,10.0,1300
2367,1,20.0,1040
2368,13,1200.0,2353
2369,1,900.0,800
2370,10,20.0,815
2371,10,1800.0,1115
2372,6,600.0,1640
2373,4,1800.0,220
2374,1,1800.0,350
2375,4,3600.0,730
2376,1,10.0,810
2377,10,1800.0,830
2378,13,30.0,830
2379,6,1800.0,900
2380,1,10.0,1000
2381,1,1200.0,1030
2382,5,1200.0,1050
2383,5,1200.0,1130
2384,7,15.0,345
2385,10,15.0,623
2386,11,16.0,645
2387,3,15.0,830
2388,10,30.0,952
2389,2,15.0,1030
2390,1,600.0,630
2391,3,20.0,700
2392,5,900.0,1000
2393,8,600.0,1900
2394,1,10.0,2000
2395,2,1800.0,730
2396,5,15.0,1500
2397,3,45.0,800
2398,5,10.0,800
2399,2,2700.0,1400
2400,3,1200.0,500
2401,3,600.0,800
2402,17,3600.0,900
2403,10,10.0,1200
2404,1,10.0,1600
2405,16,2700.0,900
2406,4,10.0,800
2407,7,1200.0,930
2408,2,10.0,1200
2409,2,20.0,1100
2410,5,10.0,1030
2411,5,30.0,1600
2412,2,1800.0,1030
2413,6,2400.0,700
2414,1,30.0,1330
2415,7,1800.0,935
2416,5,45.0,1000
2417,5,900.0,1100
2418,5,900.0,1210
2419,13,20.0,830
2420,1,600.0,1600
2421,11,10.0,550
2422,5,10.0,1200
2423,5,1800.0,1300
2424,5,10.0,1400
2425,5,1800.0,140
2426,5,20.0,1300
2427,13,600.0,1400
2428,5,600.0,1630
2429,11,10.0,100
2430,1,15.0,500
2431,2,40.0,700
2432,2,35.0,900
2433,5,20.0,900
2434,5,25.0,903
2435,4,20.0,915
2436,1,30.0,915
2437,7,15.0,915
2438,5,20.0,930
2439,14,10.0,1100
2440,11,10.0,1124
2441,3,900.0,1300
2442,9,1200.0,1715
2443,5,25.0,2200
2444,1,15.0,5
2445,8,15.0,500
2446,14,10.0,500
2447,15,10.0,600
2448,5,1200.0,700
2449,2,600.0,700
2450,17,20.0,800
2451,10,900.0,830
2452,10,2160.0,940
2453,11,600.0,945
2454,0,55.0,1130
2455,4,5400.0,1150
2456,1,10.0,1300
2457,1,10.0,2115
2458,2,900.0,2304
2459,1,1800.0,0
2460,10,1200.0,400
2461,4,900.0,730
2462,1,1800.0,900
2463,6,3600.0,900
2464,4,2400.0,1156
2465,11,10.0,1436
2466,4,40.0,1654
2467,16,1800.0,2340
2468,4,1200.0,400
2469,3,1200.0,510
2470,2,10.0,915
2471,1,600.0,1840
2472,4,1800.0,505
