,latitude,longitude,type
182,59.900209,5.282347,light
183,42.983333,-81.25,other
184,45.5113889,-92.98,light
185,42.6291667,-73.865,circle
186,40.7138889,-116.1030556,disk
187,37.9747222,-87.5558333,formation
188,42.6525,-73.7566667,oval
189,37.5483333,-121.9875,triangle
190,32.7252778,-114.6236111,triangle
191,41.6833333,-86.25,light
192,43.8280556,-91.3038889,formation
193,40.516977,-80.221348,unknown
194,39.9522222,-75.1641667,oval
195,47.6063889,-122.3308333,light
196,38.2544444,-104.6086111,light
197,39.1619444,-84.4569444,oval
198,32.7152778,-117.1563889,disk
199,43.0730556,-89.4011111,circle
200,40.4797222,-84.6283333,sphere
201,38.8697222,-106.9872222,egg
202,36.1538889,-95.9925,unknown
203,34.1111111,-109.2908333,unknown
204,36.7280556,-76.5838889,unknown
205,33.8352778,-117.9136111,light
206,34.2255556,-77.945,light
207,39.1155556,-77.5638889,disk
208,41.7075,-86.895,changing
209,37.3230556,-122.0311111,light
210,42.7675,-78.7441667,light
211,40.2736111,-76.8847222,circle
212,41.5930556,-81.5269444,circle
213,34.3769444,-82.6958333,formation
214,41.0263889,-73.6288889,light
215,32.8544444,-79.975,light
216,37.615223,-122.389979,triangle
217,38.7891667,-77.1875,cigar
218,41.1669444,-73.2052778,light
219,45.4077778,-122.5691667,triangle
220,31.4636111,-100.4366667,oval
221,41.8525,-72.6441667,fireball
222,41.7886111,-89.6961111,cylinder
223,47.9791667,-122.2008333,other
224,35.8752778,-110.6197222,disk
225,42.6525,-73.7566667,circle
226,33.7738889,-117.9405556,egg
227,25.7738889,-80.1938889,changing
228,42.7283333,-73.6922222,triangle
229,36.7280556,-108.2180556,circle
230,34.61,-112.315,other
231,42.0963889,-79.3758333,circle
232,51.316667,-0.266667,oval
233,41.55,-71.4666667,oval
234,41.35,-72.0788889,disk
235,42.468164,-71.014118,flash
236,37.6086111,-77.3736111,light
237,43.25,-79.833333,flash
238,41.5622222,-72.6511111,fireball
239,41.4819444,-81.7983333,fireball
240,39.9625,-76.7280556,circle
241,41.1238889,-100.765,circle
242,39.5297222,-84.0866667,triangle
243,41.1669444,-73.2052778,circle
244,37.615223,-122.389979,triangle
245,32.7152778,-117.1563889,sphere
246,42.5802778,-83.0302778,oval
247,43.0480556,-76.1477778,light
248,43.0480556,-76.1477778,circle
249,38.8338889,-104.8208333,light
250,32.9975,-87.63,changing
251,40.7141667,-74.0063889,disk
252,44.136076,-79.308339,triangle
253,32.3122222,-106.7777778,fireball
254,37.7305556,-88.9330556,light
255,37.3394444,-121.8938889,other
256,33.4483333,-112.0733333,sphere
257,46.6022222,-120.5047222,light
258,30.2669444,-97.7427778,changing
259,36.3436111,-83.2841667,cigar
260,46.8219444,-123.095,light
261,41.1147222,-74.15,cylinder
262,33.7397222,-116.4119444,rectangle
263,40.858433,-74.163755,light
264,28.0777778,-82.7638889,chevron
265,36.864209,-86.710273,triangle
266,38.6272222,-90.1977778,light
267,45.416667,-75.7,light
268,40.9780556,-81.7822222,light
269,45.716667,-67.0,light
270,44.4905556,-73.1113889,light
271,29.9938889,-90.2416667,circle
272,39.7463889,-84.2866667,circle
273,42.7647222,-71.4402778,light
274,42.9275,-83.63,light
275,44.7791667,-93.3361111,circle
276,42.4775,-83.0277778,sphere
277,42.3086111,-83.4822222,triangle
278,39.1611111,-80.3522222,triangle
279,42.7647222,-71.4402778,light
280,26.9338889,-80.0944444,egg
281,42.5294444,-83.7802778,circle
282,44.9133333,-93.5030556,light
283,38.3708333,-90.5002778,fireball
284,41.2455556,-89.9247222,sphere
285,41.2455556,-89.9247222,sphere
286,35.0844444,-106.6505556,sphere
287,39.7763889,-74.8627778,triangle
288,33.9533333,-117.3952778,chevron
289,36.6336111,-81.7838889,light
290,64.066667,-21.95,sphere
291,37.5422222,-122.515,other
292,18.4463889,-66.3880556,cigar
293,36.5452778,-82.6611111,light
294,39.7944444,-87.3958333,sphere
295,44.3875,-68.2044444,sphere
296,38.4088889,-121.3705556,fireball
297,32.3666667,-86.3,light
298,34.0522222,-118.2427778,light
299,45.124411,-92.673537,unknown
300,41.9438889,-85.6325,oval
301,45.2630556,-122.6913889,light
302,45.333333,-80.033333,disk
303,42.0386111,-78.3411111,oval
304,42.0386111,-78.3411111,oval
305,42.0386111,-78.3411111,oval
306,42.0386111,-78.3411111,oval
307,36.6230556,-93.1638889,other
308,40.9730556,-117.7347222,cigar
309,42.1947222,-122.7083333,triangle
310,37.6866667,-96.9763889,light
311,30.3880556,-95.6961111,light
312,36.4011111,-93.7377778,light
313,37.704344,-88.426757,disk
314,41.9316667,-87.9888889,disk
315,51.514125,-0.093689,diamond
316,43.9747222,-75.9111111,light
317,38.7138889,-121.4616667,light
318,52.75,-3.883333,changing
319,33.9791667,-118.0319444,light
320,45.1244444,-92.6733333,light
321,64.8377778,-147.7163889,other
322,39.7391667,-104.9841667,light
323,31.2516667,-89.8375,teardrop
324,39.2191667,-121.06,triangle
325,40.7425,-84.1052778,teardrop
326,37.2152778,-93.2980556,fireball
327,39.5297222,-119.8127778,sphere
